Project,Site,directory,ID,primer,cells.mL,volume.filtered.in.L,Total.Cells,closedref,openref,denovo
Olkiluoto_V6,OL_KR13_360m_Bv6,BombergV6,sample_0,v6,705800,1,705800000,5458,20174,24505
Olkiluoto_V6,OL_KR1_609m_Bv6,BombergV6,sample_1,v6,22000,1,2.2e+07,2801,8097,67303
Olkiluoto_V6,OL_KR9_468m_Bv6,BombergV6,sample_10,v6,116000,1,1.16e+08,3418,11622,28213
Olkiluoto_V6,OL_KR9_564m_Bv6,BombergV6,sample_11,v6,150520,1,150520000,3432,11079,25824
Olkiluoto_V6,OL_KR23_424m_Bv6,BombergV6,sample_2,v6,423000,1,4.23e+08,3028,9565,218561
Olkiluoto_V6,OL_KR29_801m_Bv6,BombergV6,sample_3,v6,15280,1,15280000,3470,39159,36562
Olkiluoto_V6,OL_KR2_596m_Bv6,BombergV6,sample_4,v6,140750,1,140750000,3309,10779,32469
Olkiluoto_V6,OL_KR3_380m_Bv6,BombergV6,sample_5,v6,29900,1,29900000,4402,16295,67299
Olkiluoto_V6,OL_KR44_775m_Bv6,BombergV6,sample_6,v6,32026,1,32026000,1834,41664,13232
Olkiluoto_V6,OL_KR49_532m_Bv6,BombergV6,sample_7,v6,13150,1,13150000,3315,10087,70071
Olkiluoto_V6,OL_KR5_457m_Bv6,BombergV6,sample_8,v6,55200,1,55200000,3034,10086,10088
Olkiluoto_V6,OL_KR6_422m_Bv6,BombergV6,sample_9,v6,29500,1,29500000,2759,9044,39948
Crespo_Medina,CSW1.1,Crespo_Medina,Serp_CRO_CSW11B_Mar13,v4v5,168000,2,3.36e+08,327,9432,6576
Crespo_Medina,CSWold,Crespo_Medina,Serp_CRO_CSWoldA_Mar13,v4v5,27100,2,54200000,856,3675,1913
Crespo_Medina,CSWold,Crespo_Medina,Serp_CRO_CSWoldB_Mar13,v4v5,27100,2,54200000,688,3052,1352
Crespo_Medina,CSWold,Crespo_Medina,Serp_CRO_CSWoldT0_Mar13,v4v5,27100,2,54200000,729,10183,5463
Crespo_Medina,NO8B,Crespo_Medina,Serp_CRO_N08BA_Mar13,v4v5,657000,2,1.314e+09,848,6591,6925
Crespo_Medina,NO8B,Crespo_Medina,Serp_CRO_N08BB_Mar13,v4v5,657000,2,1.314e+09,660,25636,11174
Crespo_Medina,NO8C,Crespo_Medina,Serp_CRO_N08C_B_Mar13,v4v5,657000,2,1.314e+09,2410,13205,10004
Crespo_Medina,NO8C,Crespo_Medina,Serp_CRO_N08CA_Mar13,v4v5,657000,2,1.314e+09,2655,17342,15275
Crespo_Medina,NO8B,Crespo_Medina,Serp_CRO_N08T0_Mar13,v4v5,657000,2,1.314e+09,575,3604,1871
Dong,SRR1002599,Dong,Dong_SRR1002599.QC,v1v3,1460,1,1460000,36,82,100
LAV_wallulua,W,LavCol,sample_52,v6v4,130000,10,1.3e+09,254,2676,2400
LAV_wallulua,GR1,LavCol,sample_53,v6v4,2000,3,6e+06,302,6872,2495
LAV_wallulua,GR2,LavCol,sample_54,v6v4,2e+05,2.15,4.3e+08,229,4206,6294
LAV_wallulua,GR3,LavCol,sample_55,v6v4,1000,3,3e+06,456,7059,15236
LAV_wallulua,IZ,LavCol,sample_56,v6v4,60000,5,3e+08,171,2760,4291
LAV_wallulua,GR4,LavCol,sample_57,v6v4,2.7e+07,0.63,1.701e+10,174,3547,2976
Magnabosco,Be326_2011,Magnabosco,sample_131,v6,1260,4875,6142500000,2514,8691,10270
Magnabosco,Be326_2012,Magnabosco,sample_132,v6,34000,10214,3.47e+11,3227,22781,72945
Magnabosco,Dr5IPC,Magnabosco,sample_133,v6,804,12005,9652020000,2883,25498,17342
Magnabosco,FI88,Magnabosco,sample_134,v6,2800,223118,6.25e+11,2792,13196,36608
Magnabosco,MM51940,Magnabosco,sample_135,v6,220,11362,2499640000,3817,52653,89436
Magnabosco,NO14,Magnabosco,sample_136,v6,660,2850,1.881e+09,3744,26528,14292
Magnabosco,TT109_Bh2,Magnabosco,sample_137,v6,33000,26809,8.85e+11,2952,7909,19982
Marteinsson_V3V5,A3,MarteinssonV3V5,S1,v3v5,650000,0.4,2.6e+08,90,263,61
Marteinsson_V3V5,A2,MarteinssonV3V5,S2,v3v5,610000,0.4,2.44e+08,67,191,58
Marteinsson_V3V5,A1,MarteinssonV3V5,S3,v3v5,5e+05,0.4,2e+08,79,160,79
Marteinsson_V3V5,B4,MarteinssonV3V5,S4,v3v5,1e+05,0.4,4e+07,90,1057,154
Marteinsson_V3V5,B1,MarteinssonV3V5,S5,v3v5,550000,0.4,2.2e+08,92,2157,87
Marteinsson_V3V5,B3,MarteinssonV3V5,S6,v3v5,510000,0.4,2.04e+08,112,286,145
Marteinsson_V3V5,B2,MarteinssonV3V5,S7,v3v5,280000,0.4,1.12e+08,91,336,63
Marteinsson_V4V6,A3,MarteinssonV6V4,S1,v6v4,650000,0.4,2.6e+08,126,838,3808
Marteinsson_V4V6,A2,MarteinssonV6V4,S2,v6v4,610000,0.4,2.44e+08,119,1112,493
Marteinsson_V4V6,A1,MarteinssonV6V4,S3,v6v4,5e+05,0.4,2e+08,100,3575,1159
Marteinsson_V4V6,B4,MarteinssonV6V4,S4,v6v4,1e+05,0.4,4e+07,134,2490,572
Marteinsson_V4V6,B1,MarteinssonV6V4,S5,v6v4,550000,0.4,2.2e+08,121,1020,459
Marteinsson_V4V6,B3,MarteinssonV6V4,S6,v6v4,510000,0.4,2.04e+08,156,1759,1239
Marteinsson_V4V6,B2,MarteinssonV6V4,S7,v6v4,280000,0.4,1.12e+08,122,1025,515
Pedersen,ONK-KR15,Pedersen,sample_86,v6v4,18000,57,1.026e+09,320,4025,8468
Pedersen,ONK-PVA6,Pedersen,sample_93,v6v4,49000,14,6.86e+08,203,5385,3500
